id,title,description,label,label_text
12594,NO EXTENSION ON U.S. DAIRY HERD BUYOUT - LYNG,"U.S. Agriculture Secretary Richard Lyng said he would not agree to an extension of the 18-month whole dairy herd buyout program set to expire later this year. Speaking at the Agriculture Department to representatives of the U.S. National Cattlemen's Association, Lyng said some dairymen asked the program be extended. But he said the Reagan administration, which opposed the whole herd buyout program in the 1985 farm bill, would not agree to an extension. The program begun in early 1986, is to be completed this summer. U.S. cattlemen bitterly opposed the scheme, complaining that increased dairy cow slaughter drove cattle prices down last year. Reuter",5,other
12595,"BRAZIL TO EXPORT POULTRY, MEAT TO IRAQ FOR OIL","Brazil will export 6,000 tonnes of poultry and 10,000 tonnes of frozen meat to Iraq in exchange for oil, Petrobras Commercial Director Carlos Sant'Anna said. Brazil has a barter deal with Iraq and currently imports 215,000 barrels per day of oil, of which 170,000 bpd are paid for with exports of Brazilian goods to that country. Reuter",5,other
12596,MICHAELS STORES INC <MKE> YEAR FEB ONE,"Shr 35 cts vs 19 cts Net 3,336,000 vs 1,484,000 Sales 115.9 mln vs 76.2 mln Avg shrs 9,461,000 vs 7,897,000 NOTE: Prior year ended December 29, 1985. Reuter",0,earn
12597,WORLD BANK TO REDEEM EARLY TWO SWISS FRANC BONDS,"The World Bank will prepay on July 9, 1987 and July 17, 1987 the total amount outstanding of two Swiss franc public issues, in the first of what could be a series of similar moves in other capital markets, a spokesman for the Bank said in a telephone call from Washington. The prepayments cover 96 mln Swiss francs of 6-1/2 pct Swiss franc bonds of 1976 and due 1991, lead managed by Swiss Bank Corporation and 100 mln Swiss francs of 7-3/8 pct bonds of 1981 and due 1991, lead managed by Credit Suisse. Eugene Rotberg, World Bank vice president-treasurer, said in a prepared statement that the prepayments are being made because of the substantial decline in interest rates over the past two years, the spokesman said. The World Bank intends to exercise early redemption on selected public issues of its securities in Switzerland and other capital markets if the exercise is financially beneficial and consistent with the Bank's overall funding strategy. Last month, Rotberg said that the World Bank planned to bring forward to the first half of 1987 its borrowing plans for the year because of its expectations that world interest rates will rise by the year end. REUTER",5,other
12598,U.S. URGED TO STRENGTHEN DEBT STRATEGY,"Several industrial nations are pressing the United States to consider whether its debt strategy, under increasing fire in the developing world, needs to be strengthened, monetary sources say. While few nations are ready to pour vast sums of money into radical ""debt relief"" style solutions to the debt crisis, pressure is building for a greater International Monetary Fund role in the plan. But U.S. officials, who are fighting off demands for change by Congress, are confident they will retain support for their strategy which will probably be endorsed in a communique issued by the IMF's policy-making Interim Committee. One Reagan administration official said a recent discussion among leading industrial countries showed there was ""very broad and strong support for continuing the strategy"". The official said in an interview, ""I don't sense that there's a strong desire to revise the debt strategy, except of course here on (Capitol) Hill."" But monetary sources said some industrial nations, like France and Italy, are troubled by signs the strategy is increasingly strained. Britain too is said to be concerned. In late 1985, Washington called on multilateral development banks, like the World Bank, and commercial banks to increase loans to the 15 major debtors by 29 billion dlrs over three years. In return, the major debtors were expected to undertake reforms promoting inflation-free economic growth, more open markets and a reduced government role in the economy. The IMF was to retain a ",5,other
12599,MORTON THIOKOL <TKI> UNIT TO MARKET RESINS,"Morton Thiokol Inc said its Morton Chemical Division entered into an agreement with <Mitsubishi Chemical Industries Ltd>, Japan, to market extrudable adhesive resins based on Mitsubishi's Novatec AP product line technology. It said the resins are used in a broad range of applications, including barrier co-extrusion with nylon and Ethylene-Vinylalcohol Copolymer for film, sheet and bottles. Reuter",5,other
12600,HAWLEY BUYS U.S. CRIME CONTROL FOR 51.3 MLN DLRS,"<Hawley Group Ltd> said it has agreed to buy <Crime Control Inc> of Indiana for 51.3 mln dlrs cash. Crime control is a security service group that sells, installs and services electronic security systems which would expand the coverage of Hawley's <Electro-Protective Corp> unit. Hawley said the acquisition moved it into 12 new market areas including the West and South-West and would create the fourth largest provider of security systems in the U.S. Hawley is a Bermuda-based holding company whose main subsidiary is the U.K. Security, home improvements and cleaning operation <Hawley Group Plc>. Earlier this week, Hawley launched a 196 mln stg recommended offer for <British Car Auction Group Plc> and last month it said it planned to issue 150 mln dlrs in 15 year convertible redeemable preference shares. It said in a statement that Crime Control reported operating profit of 4.0 mln dlrs in 1986 and had end-year net tangible assets of 4.5 mln dlrs. REUTER",1,acq
12601,LAWSON SAYS STERLING TARGET COMMENTS INSIGNIFICANT,"Chancellor of the Exchequer Nigel Lawson criticised media coverage of comments he made yesterday, when he was reported as saying he wanted sterling to stay roughly where it was, specifying a rate of around 2.90 marks and 1.60 dlrs to the pound. Holding up a newspaper report on his comments headed ""Exchange Rate Targets Set"" Lawson told journalists ""This story is a complete non-event."" He criticised the report, which said he was now targetting sterling against the dollar and mark. ""Nothing of the sort occurred,"" Lawson said. Lawson said he had only told National Economic Development Council panel members what the pound's current dollar/mark rates were that day, after saying he was happy with current sterling levels. He said he had told the NEDC, a tripartite forum of government, unions and industry, that the pound would be kept near its present level by a mixture of interest rates and intervention on foreign exchange markets. He then repeated to the panel that he remained satisfed with sterling at around its current levels following the Paris accord in February on currency stabilisation. REUTER",5,other
12602,EC PUBLISHES LIST OF U.S. BARRIERS TO FREE TRADE,"The European Community responded to widespread U.S. criticism of its trade policies by publishing an extensive list of U.S. actions which pose obstacles to EC exports. A spokeswoman for the EC Commission said the detailed 25-page report of alleged malpractices was in response to a similar document issued by U.S. Administration officials in November, and updated a previous EC list. EC External Trade Relations Commissioner Willy De Clercq said its object was to show such actions were not solely taken by trading partners of the U.S. And that ""the U.S. Were not innocents in the matter."" The report covers the entire field of EC-U.S. Commercial relations and lists more than 30 obstacles ranging from tariff measures, import quotas, customs duties, anti-dumping procedures, fiscal barriers and export subsidies. The Commission said not all the barriers mentioned were necessarily inconsistent with U.S. International obligations, and emphasised many of them could be removed at upcoming international trade talks. ""The purpose of the report is to make clear that trade practices which impede exports are not a unique problem only faced by U.S. Exporters. Europeans face similar problems in the U.S.,"" it said. Among the obstacles detailed in the report are import restrictions on food products, such as cheese, sugar and syrup, certain wines, beers and juices, as well as on firearms and machine tools. It also criticises programs to boost U.S. Cereals exports. The document said the U.S.'s three-y",2,trade
12603,LYNG SETS TOUGH U.S. STANCE WITH JAPAN ON BEEF,"U.S. Agriculture Secretary Richard Lyng warned Japan that the failure to remove a longstanding import quota on Japanese beef might spark a protectionist response in the United States. ""Given the protectionist mood in the Congress and the country, if I were a leader in Japan I would certainly be very concerned...and the failure to remove it (the beef quota) might be very serious,"" Lyng told a group of U.S cattlemen. Lyng said he and Trade Representative Clayton Yeutter, during a visit to Japan later this month, will demand ""total elimination"" of the beef import quota by April 1988. The current dispute with Japan over semiconductor may strengthen the U.S. stance in farm trade negotiations, Lyng said, because Japan does not want a trade war with the U.S. Lyng dismissed recent statements in Tokyo that Japan might retaliate against U.S. products as a result of the semiconductor dispute. ""They (Japan) aren't going to pick a fight with us,"" Lyng said, adding that with its huge bilateral trade surplus Japan has more to lose in a trade war than the United States. Lyng told the U.S. cattlemen that the quota on Japanese beef imports does not allow consumers there an adequate choice in food purchases. He said in addition to beef, the U.S. will press for eliminiation of import barriers on Japan's citrus and rice as well. Lyng noted that Japan is the largest buyer of U.S. farm products, principally grains and soybeans. Reuter",5,other
